,zip,AQI,Category Number,Category Name,Pollutant
195,14011,49,1,Good,OZONE
196,14013,49,1,Good,OZONE
197,14020,49,1,Good,OZONE
198,14024,49,1,Good,OZONE
199,14025,49,1,Good,OZONE
200,14026,49,1,Good,OZONE
201,14030,49,1,Good,OZONE
202,14031,49,1,Good,OZONE
203,14032,49,1,Good,OZONE
204,14033,49,1,Good,OZONE
205,14034,49,1,Good,OZONE
206,14036,49,1,Good,OZONE
207,14037,49,1,Good,OZONE
208,14039,49,1,Good,OZONE
209,14040,49,1,Good,OZONE
210,14041,49,1,Good,OZONE
211,14042,49,1,Good,OZONE
212,14043,49,1,Good,OZONE
213,14047,49,1,Good,OZONE
214,14048,49,1,Good,OZONE
215,14051,49,1,Good,OZONE
216,14052,49,1,Good,OZONE
217,14054,49,1,Good,OZONE
218,14055,49,1,Good,OZONE
219,14057,49,1,Good,OZONE
220,14058,49,1,Good,OZONE
221,14059,49,1,Good,OZONE
222,14060,49,1,Good,OZONE
223,14062,49,1,Good,OZONE
224,14063,49,1,Good,OZONE
225,14065,49,1,Good,OZONE
226,14066,49,1,Good,OZONE
227,14068,49,1,Good,OZONE
228,14069,49,1,Good,OZONE
229,14070,49,1,Good,OZONE
230,14072,49,1,Good,OZONE
231,14075,49,1,Good,OZONE
232,14080,49,1,Good,OZONE
233,14081,49,1,Good,OZONE
234,14082,49,1,Good,OZONE
235,14083,49,1,Good,OZONE
236,14085,49,1,Good,OZONE
237,14086,49,1,Good,OZONE
238,14091,49,1,Good,OZONE
239,14092,49,1,Good,OZONE
240,14101,49,1,Good,OZONE
241,14102,49,1,Good,OZONE
242,14109,49,1,Good,OZONE
243,14111,49,1,Good,OZONE
244,14113,49,1,Good,OZONE
245,14120,49,1,Good,OZONE
246,14125,49,1,Good,OZONE
247,14127,49,1,Good,OZONE
248,14129,49,1,Good,OZONE
249,14131,49,1,Good,OZONE
250,14132,49,1,Good,OZONE
251,14134,49,1,Good,OZONE
252,14136,49,1,Good,OZONE
253,14138,49,1,Good,OZONE
254,14139,49,1,Good,OZONE
255,14141,49,1,Good,OZONE
256,14143,49,1,Good,OZONE
257,14145,49,1,Good,OZONE
258,14150,49,1,Good,OZONE
259,14167,49,1,Good,OZONE
260,14170,49,1,Good,OZONE
261,14171,49,1,Good,OZONE
262,14174,49,1,Good,OZONE
263,14201,49,1,Good,OZONE
264,14202,49,1,Good,OZONE
265,14203,49,1,Good,OZONE
266,14204,49,1,Good,OZONE
267,14206,49,1,Good,OZONE
268,14207,49,1,Good,OZONE
269,14208,49,1,Good,OZONE
270,14209,49,1,Good,OZONE
271,14210,49,1,Good,OZONE
272,14211,49,1,Good,OZONE
273,14212,49,1,Good,OZONE
274,14213,49,1,Good,OZONE
275,14214,49,1,Good,OZONE
276,14215,49,1,Good,OZONE
277,14216,49,1,Good,OZONE
278,14217,49,1,Good,OZONE
279,14218,49,1,Good,OZONE
280,14219,49,1,Good,OZONE
281,14220,49,1,Good,OZONE
282,14221,49,1,Good,OZONE
283,14222,49,1,Good,OZONE
284,14223,49,1,Good,OZONE
285,14224,49,1,Good,OZONE
286,14225,49,1,Good,OZONE
287,14226,49,1,Good,OZONE
288,14227,49,1,Good,OZONE
289,14228,49,1,Good,OZONE
290,14260,49,1,Good,OZONE
291,14301,49,1,Good,OZONE
292,14303,49,1,Good,OZONE
293,14304,49,1,Good,OZONE
294,14305,49,1,Good,OZONE
295,14884,49,1,Good,OZONE
296,14569,49,1,Good,OZONE
297,14591,49,1,Good,OZONE
298,14813,49,1,Good,OZONE
299,14802,49,1,Good,OZONE
300,14803,49,1,Good,OZONE
301,14804,49,1,Good,OZONE
302,14895,49,1,Good,OZONE
303,14897,49,1,Good,OZONE
304,14822,49,1,Good,OZONE
305,14482,49,1,Good,OZONE
306,14525,49,1,Good,OZONE
307,14530,49,1,Good,OZONE
308,14536,49,1,Good,OZONE
309,14550,49,1,Good,OZONE
310,14880,49,1,Good,OZONE
311,14701,49,1,Good,OZONE
312,14706,49,1,Good,OZONE
313,14708,49,1,Good,OZONE
314,14709,49,1,Good,OZONE
315,14710,49,1,Good,OZONE
316,14711,49,1,Good,OZONE
317,14712,49,1,Good,OZONE
318,14714,49,1,Good,OZONE
319,14715,49,1,Good,OZONE
320,14716,49,1,Good,OZONE
321,14717,49,1,Good,OZONE
322,14718,49,1,Good,OZONE
323,14719,49,1,Good,OZONE
324,14721,49,1,Good,OZONE
325,14723,49,1,Good,OZONE
326,14724,49,1,Good,OZONE
327,14726,49,1,Good,OZONE
328,14727,49,1,Good,OZONE
329,14728,49,1,Good,OZONE
330,14729,49,1,Good,OZONE
331,14731,49,1,Good,OZONE
332,14733,49,1,Good,OZONE
