,City,State,Zipcode,Latitude,Longitude
176,Aiken-Augusta - SC/GA,SC,29842,33.4388,-81.8986
177,Aiken-Augusta - SC/GA,SC,29845,33.868,-82.1439
178,Aiken-Augusta - SC/GA,SC,29847,33.6904,-81.78
179,Aiken-Augusta - SC/GA,SC,29848,34.0029,-82.0478
180,Aiken-Augusta - SC/GA,SC,29851,33.5503,-81.7998
181,Aiken-Augusta - SC/GA,SC,29853,33.4041,-81.4181
182,Aiken-Augusta - SC/GA,SC,29856,33.4828,-81.5161
183,Aiken-Augusta - SC/GA,SC,29860,33.5941,-81.9407
184,Aiken-Augusta - SC/GA,SC,29146,33.495,-81.2283
185,Aiken-Augusta - SC/GA,SC,29801,33.5611,-81.7194
186,Aiken-Augusta - SC/GA,SC,29803,33.511,-81.7264
187,Aiken-Augusta - SC/GA,SC,29805,33.6186,-81.6739
188,Aiken-Augusta - SC/GA,SC,29808,33.5617,-81.7221
189,Aiken-Augusta - SC/GA,SC,29809,33.4215,-81.6878
190,Aiken-Augusta - SC/GA,SC,29812,33.2454,-81.3617
191,Aiken-Augusta - SC/GA,SC,29817,33.3585,-81.2722
192,Aiken-Augusta - SC/GA,SC,30802,33.6084,-82.3728
193,Aiken-Augusta - SC/GA,SC,30805,33.2925,-82.2014
194,Aiken-Augusta - SC/GA,SC,30808,33.4139,-82.3866
195,Aiken-Augusta - SC/GA,SC,30809,33.539,-82.1283
196,Aiken-Augusta - SC/GA,SC,30813,33.4145,-82.2117
197,Aiken-Augusta - SC/GA,SC,30814,33.418,-82.3149
198,Aiken-Augusta - SC/GA,SC,30815,33.3154,-82.0963
199,Aiken-Augusta - SC/GA,SC,30824,33.4634,-82.5006
200,Aiken-Augusta - SC/GA,SC,30901,33.4732,-81.9673
201,Aiken-Augusta - SC/GA,SC,30904,33.4731,-82.0126
202,Aiken-Augusta - SC/GA,SC,30905,33.3996,-82.1232
203,Aiken-Augusta - SC/GA,SC,30906,33.4324,-82.0388
